"id","standortnr","artbot","min_alter","max_alter","clifton_park_min","clifton_park_max","baumsicht_min","baumsicht_max","sondengaenger_min","sondengaenger_max","zier_h_2000_min","zier_h_2000_max","baumportal_min","baumportal_max","mitchell_min","mitchell_max","kappel_mattheck_min","kappel_mattheck_max","lat","lng","kronendurchmesser","baumhoehe"
"297_291","291","Acer platanoides","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.46623","13.10237","4-6","10-15"
"319_22","22","Acer campestre","78","94",NULL,NULL,NULL,NULL,"92","111",NULL,NULL,"98","118","78","94",NULL,NULL,"52.38352","13.02241","6-8","15-20"
"249_81","81","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.37682","13.13932","8-10","20-25"
"249_82","82","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.37677","13.13938","8-10","20-25"
"249_91","91","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.377","13.13894","8-10","15-20"
"14_61","61","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.37535","13.00935","4-6","10-15"
"14_62","62","Robinia pseudoacacia","52","63",NULL,NULL,"52","63","78","94","52","63","71","85",NULL,NULL,NULL,NULL,"52.37532","13.00935","6-8","15-20"
"14_63","63","Robinia pseudoacacia","10","21",NULL,NULL,"10","21","16","32","10","21","14","29",NULL,NULL,NULL,NULL,"52.37535","13.0093","2-4","10-15"
"14_112","112","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.37432","13.00902","8-10","15-20"
"407_206","206","Quercus robur","100","113",NULL,NULL,"114","129","193","218","114","129","193","218","100","113","126","142","52.48512","13.12327","12-14","15-20"
"407_207","207","Quercus robur","38","50",NULL,NULL,"43","57","72","97","43","57","72","97","38","50","47","63","52.4851","13.12332","8-10","15-20"
"14_121","121","Ulmus spec.","18","37",NULL,NULL,NULL,NULL,"18","37",NULL,NULL,"19","39",NULL,NULL,NULL,NULL,"52.37452","13.00975","2-4","10-15"
"186_214","214","Pinus sylvestris","63","75","68","82","63","75","112","134",NULL,NULL,"83","99","78","94","98","118","52.36558","13.0896","6-8","20-25"
"248_618842","618842","Acer platanoides","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.38051","13.04537","10-12","20-25"
"248_618843","618843","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.38055","13.04537","10-12","20-25"
"827_17093","17093","Acer pseudoplatanus","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.38206","13.08994","6-8","5-10"
"221_MU741DA","MU741DA","Robinia pseudoacacia","63","73",NULL,NULL,"63","73","94","110","63","73","85","100",NULL,NULL,NULL,NULL,"52.35883","13.0061","10-12","20-25"
"407_188","188","Prunus avium","26","39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"26","39","32","47",NULL,NULL,"52.48557","13.12332","6-8","10-15"
"185_HAXAWDK","HAXAWDK","Malus domestica","26","39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"26","39","32","47",NULL,NULL,"52.41987","13.03605","2-4","5-10"
"221_20","20","Quercus rubra","25","30","78","94",NULL,NULL,NULL,NULL,NULL,NULL,"121","145","25","30",NULL,NULL,"52.37046","13.01182","8-10","15-20"
